"ID","Created Date","Updated Date","Owner","project","slug","team","projectLead","completionDate","status","projectType","Project Details - Admin","company","brief","contact","Project Details - Client","lead","confirmation","productionBudget","documentation","projectCompletionForm","docSigned","projSigned","Project Calendar - Admin","statsSheet","link-projects-project","Project Calendar - Client"
"101cfcf5-0b3f-4d47-8280-06816040e1e7",2022-11-16T15:35:09Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Aspire Kuwait - Web Development","62020","[""a3efb115-821a-43d3-94ad-afc4382a24df""]",,2023-11-13T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/62020","91776763-b166-4543-9353-40ea2ad3277c","<p>Corporate Website with the following pages:</p><ul><li>Home Page</li><li>About</li><li>Divisions (Main)</li><li>Divisions Dynamic Pages</li><li>News &amp; Articles</li><li>Contact Us</li></ul>","71ae77ac-9f2e-46c9-a4b2-c028f047c4c3","/project/62020","a3efb115-821a-43d3-94ad-afc4382a24df",true,2412,,,,,"/dashboard-calendar/62020",,"62020","/calendar/62020"
"10756497-dedc-459f-adf6-b878b84cf2cc",2022-11-21T15:00:32Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Gulf AED - Custom Coding","73249","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""a3efb115-821a-43d3-94ad-afc4382a24df"",""8055f94c-ed6b-43cf-b3aa-659c790942a8""]",,2022-11-21T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/73249","f791e0b7-ccad-4674-96a8-341f97fc74b1",,"6d9247b8-ec6c-45c2-97ee-5526588c6ebf","/project/73249","5c084634-6869-4e43-a13e-fbede7b594d4",true,0,,,,,"/dashboard-calendar/73249",,"73249","/calendar/73249"
"10fbf73d-6c3a-4abf-a4c7-5564df12e5a5",2022-11-30T20:25:23Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Work & Co. - Web Development","32329","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""a3efb115-821a-43d3-94ad-afc4382a24df"",""8055f94c-ed6b-43cf-b3aa-659c790942a8""]",,2022-06-29T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/32329","aa83a9f4-58d8-4c37-9029-13cd8b1494e9",,"6f4da86d-aa82-4b4c-ad4b-9739c7245db6","/project/32329","5c084634-6869-4e43-a13e-fbede7b594d4",,0,,,,,"/dashboard-calendar/32329",,"32329","/calendar/32329"
"11ba9c90-bb91-446a-a193-2966e5043aca",2025-06-20T07:58:22Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","POB1 Website & LMS AMC","522564","[""e29bb22d-c98b-402b-9b81-1551aa2adb26"",""a25ca145-086d-426e-9d64-e6f1a13f5a29""]",,2025-12-30T20:00:00Z,"In Progress","406585ca-1f8d-426d-bea3-2cdda83737fd","/dashboard-project/522564","e2b67c24-6545-4ed4-953f-06c53d8f6e6b",,"c8bb8fd9-7aa1-477a-ae96-453d0814ebcd","/project/522564","9f3c0fa1-d627-46e1-af60-4cb88b4e682c",false,0,,,,,"/dashboard-calendar/522564",,"522564","/calendar/522564"
"1212678d-037b-475a-b187-a27821e2d3c8",2024-02-08T16:16:30Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Airstay Holiday Homes - Social Media Marketing","743079","[""a0e512da-decd-4d6e-9631-2e8896f892c0"",""86b14473-f7c1-45b3-abba-dacc255875fe"",""a1bf0c8d-7413-4891-861f-f83c093a57ef"",""01aa1d8a-504c-4f74-b0eb-16e63261cb39"",""94873ed1-9c45-497a-8260-be4ca80c41d6"",""88bc7725-fe57-48c6-8b0d-8a63d1304032""]",,2024-12-30T20:00:00Z,"In Progress","3dfa2732-4093-4a45-b4a4-661907aeb0ef","/dashboard-project/743079","e5a8f142-b45d-4375-973d-f0cc776663e1",,"362a2d4b-7db8-4972-b783-40b81cfb06ae","/project/743079","86b14473-f7c1-45b3-abba-dacc255875fe",false,0,"038acfcb-751a-42d3-aeac-42b8b57c5674",,,,"/dashboard-calendar/743079",,"743079","/calendar/743079"
"136955df-a27d-425c-804a-fd5ebb827efe",2025-01-29T05:47:43Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Elite Property DXB - Crypto Website Phase 1  Web Development","655904","[""e29bb22d-c98b-402b-9b81-1551aa2adb26"",""7f710291-8033-444e-99e9-424cc4da2bc0"",""8055f94c-ed6b-43cf-b3aa-659c790942a8"",""a25ca145-086d-426e-9d64-e6f1a13f5a29"",""89b1bd50-a9db-4d81-ae5c-f2f2e585766c"",""fca900e0-a536-4137-a77e-5a8025040e72""]",,2025-03-30T20:00:00Z,"In Progress","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/655904","56eac7e9-af94-47c0-b4b1-2a4101a9b0c1",,"04be3f3e-1786-4d4b-a1cc-743721b3c18c","/project/655904","8055f94c-ed6b-43cf-b3aa-659c790942a8",false,0,,,,,"/dashboard-calendar/655904",,"655904","/calendar/655904"
"13ff8e1e-b091-4faf-8f25-8308122776b3",2023-04-09T10:44:36Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","ATEX International Exhibitions - Website Update & Revamp","68665","[""7f710291-8033-444e-99e9-424cc4da2bc0"",""a0e512da-decd-4d6e-9631-2e8896f892c0"",""5c084634-6869-4e43-a13e-fbede7b594d4"",""a3efb115-821a-43d3-94ad-afc4382a24df"",""9f3c0fa1-d627-46e1-af60-4cb88b4e682c""]",,2025-06-19T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/68665","f9c4b9cf-50cd-44a2-ba40-f853a021b41f",,"2969a5b1-27f4-4a9e-bde4-8ee5ecf4dd85","/project/68665","5c084634-6869-4e43-a13e-fbede7b594d4",true,0,,,,,"/dashboard-calendar/68665",,"68665","/calendar/68665"
"156a8f63-547d-4e1f-9f1d-615fd01e702d",2024-01-30T10:51:03Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Watchh Sales Discount Fucntionality","196082","[""a3efb115-821a-43d3-94ad-afc4382a24df""]",,2024-01-29T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/196082","97fa41fe-3189-46cb-93d0-c7aa942c609c",,"76b1b190-35cd-42fb-8918-3e274c9bee98","/project/196082","a3efb115-821a-43d3-94ad-afc4382a24df",true,0,,,,,"/dashboard-calendar/196082",,"196082","/calendar/196082"
"15d3c318-4817-4b8f-b39a-5bf4473372b3",2026-02-03T09:30:58Z,2026-02-03T09:30:58Z,"01f011dc-8d52-4de4-9524-780ccef3313b","World Health Expo - Content Creation","418198","[""c2b5f7ae-8db7-4f98-ba73-b2dbc1c40375"",""a1bf0c8d-7413-4891-861f-f83c093a57ef"",""0b9a27c3-c82e-4b9f-9dbd-fdc3957df1ab"",""144e9bd2-9ce5-4a4a-8708-dd5671829b1f""]",,2026-02-09T20:00:00Z,"Not Started","b003e890-c554-4cf2-b0c9-6c7a3eee8b3c","/dashboard-project/418198","9535f0ba-df9f-4e73-8b62-94b814bd2545",,"48c53fc6-43db-4ae9-8bf6-3873ce9a1a62","/project/418198","c2b5f7ae-8db7-4f98-ba73-b2dbc1c40375",false,0,,,,,"/dashboard-calendar/418198",,,"/calendar/418198"
"160e00a4-309a-40b8-aec3-1635e37cf211",2025-05-22T08:56:05Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Kuwait Build 2026 - Social Media & Marketing, Creatives & SEO","483409","[""ab1f4afb-e1e0-4001-9fab-fd64a8bd5b5c"",""a0e512da-decd-4d6e-9631-2e8896f892c0"",""a1bf0c8d-7413-4891-861f-f83c093a57ef"",""01aa1d8a-504c-4f74-b0eb-16e63261cb39"",""a3efb115-821a-43d3-94ad-afc4382a24df"",""36572779-d5f3-48c8-b437-cfa2e729351b"",""b916db3b-6f70-4c5d-90c2-18e74e31805e"",""88bc7725-fe57-48c6-8b0d-8a63d1304032""]",,2026-05-30T20:00:00Z,"In Progress","3dfa2732-4093-4a45-b4a4-661907aeb0ef","/dashboard-project/483409","5ce89196-d503-4960-a087-3d0d94018925",,"16175fb6-e901-4dec-af79-0038f4ca4d43","/project/483409","5c084634-6869-4e43-a13e-fbede7b594d4",false,0,,,,,"/dashboard-calendar/483409",,"483409","/calendar/483409"
