"Title","ID","Created Date","Updated Date","Owner","project","platform","month","year","amount","notes","addedToBoost","Company"
,"242137df-0445-4243-a982-088e059fdbe5",2025-08-25T18:44:11Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","Meta Verified","7","2025",39,,,
,"28036763-b9f6-4101-a4cd-116250de5c2d",2025-11-24T07:14:04Z,2025-11-24T07:14:06Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","1212678d-037b-475a-b187-a27821e2d3c8","Many Chat","10","2025",55,,true,"Airstay Holiday Homes"
,"28716ee1-86f8-415c-977f-8ba94d5f8ebe",2025-09-20T12:39:37Z,2025-09-20T12:40:44Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","cf43c9d2-0680-46a6-bfb1-614177099a56","Many Chat","8","2025",55,,,"Flavour Fest"
,"28f0d56b-34ad-4e2f-809f-04cc4abb44a1",2026-02-17T08:50:41Z,2026-02-17T08:50:46Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Many Chat","0","2026",55,,,"Code DXB"
,"29283304-67eb-4e91-95e0-4ebe8fc681ae",2025-08-16T12:29:20Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","cf43c9d2-0680-46a6-bfb1-614177099a56","Path Social","7","2025",253.92,"Used by Crypto Homes",,
,"2aee628e-98aa-4ef3-b36d-6fb7d1788500",2026-01-22T13:41:55Z,2026-01-22T13:42:07Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","5f4622df-b55f-43d6-9ff8-3eac20caf538","Many Chat","0","2026",55,,,"Elite Recruitment"
,"2c8fc6a6-ef0a-429e-92aa-4a87c9767ca6",2026-02-22T07:56:55Z,2026-02-22T07:56:57Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","fe6eef75-85a6-4b38-9c21-2c3079846288","Many Chat","1","2026",55,,,"Sovereign Capital"
,"30127b61-c39d-4e22-8104-1d8be1d316a0",2025-08-16T10:47:15Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Many Chat","7","2025",55,,,
,"34378404-287d-4561-9cdf-2dd54a187696",2025-09-20T12:05:12Z,2026-02-22T07:55:50Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","Meta Verified","0","2026",39,,,"Elite Property"
,"34aaff9f-c067-4da6-a1fb-d322079a021a",2025-09-20T12:39:06Z,2025-09-20T12:40:58Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Meta Verified","8","2025",38.31,,,"Libya Build"
